year,artist,song,position,category
1960,Gino Latilla & Miranda Martino,Il mare,5,Unica
1960,Germana Caroli & Arturo Testa,Gridare di gioia,9,Unica
1960,Johnny Dorelli & Joe Sentieri,Hurrà,8,Unica
1960,Fausto Cigliano & Irene D'Areni,È vero,7,Unica
1960,Paolo Bacilieri & Sergio Bruni,È mezzanotte,6,Unica
1960,Nilla Pizzi & Tonina Torrielli,Colpevole,4,Unica
1960,Wilma De Angelis & Joe Sentieri,Quando vien la sera,3,Unica
1960,Domenico Modugno & Teddy Reno,Libero,2,Unica
1960,Renato Rascel & Tony Dallara,Romantica,1,Unica
1960,Jula De Palma & Tony Del Monaco,Notte mia,10,Unica
1961,Teddy Reno & Nilla Pizzi,Mandolino... mandolino,NF,Unica
1961,Wilma De Angelis & Betty Curtis,Patatina,NF,Unica
1961,Arturo Testa & Jolanda Rossin,Princess,NF,Unica
1961,Luciano Tajoli & Little Tony,Pozzanghere,NF,Unica
1961,Jula De Palma & Jimmy Fontana,Lady Luna,NF,Unica
1961,Carla Boni & Aurelio Fierro,Tu con me,NF,Unica
1961,Achille Togliani & Cocky Mazzetti,Qualcuno mi ama,NF,Unica
1961,Nilla Pizzi & Fausto Cigliano,A.A.A. Adorabile cercasi,NF,Unica
1961,Nadia Liani & Rocco Granata,Che freddo!,NF,Unica
1961,Giorgio Consolini & Gianni Meccia,Solo nel mondo,NF,Unica
1961,Cocky Mazzetti & Joe Sentieri,Libellule,NF,Unica
1961,Aura D'Angelo & Silvia Guidi,Notturno senza luna,NF,Unica
1961,Claudio Villa & Sergio Renda,Mare di dicembre,11,Unica
1961,Umberto Bindi & Miranda Martino,Non mi dire chi sei,12,Unica
1961,Betty Curtis & Luciano Tajoli,Al di là,1,Unica
1961,Adriano Celentano & Little Tony,24 mila baci,2,Unica
1961,Mina & Jenny Luna,Io amo tu ami,4,Unica
1961,Pino Donaggio & Teddy Reno,Come sinfonia,5,Unica
1961,Milva & Gino Latilla,Il mare nel cassetto,3,Unica
1961,Gino Paoli & Tony Dallara,Un uomo vivo,7,Unica
1961,Sergio Bruni & Rocco Granata,Carolina dai!,8,Unica
1961,Joe Sentieri & Sergio Bruni,Lei,9,Unica
1961,Tonina Torrielli & Arturo Testa,Febbre di musica,10,Unica
1961,Mina & Nelly Fioramonti,Le mille bolle blu,6,Unica
1962,Corrado Lojacono & Luciano Tajoli,L'anellino,NF,Unica
1962,Rocco Granata & Johnny Dorelli,L'ombrellone,NF,Unica
1962,Gloria Christian & Fabrizio Ferretti,Innamorati,NF,Unica
1962,Wanda Romanelli & Ernesto Bonino,Fiori sull'acqua,NF,Unica
1962,Mario D'Alba & Silvia Guidi,Conta le stelle,NF,Unica
1962,Rossana & Edda Montanari,Prima del perdono,NF,Unica
1962,Nunzio Gallo & Rocco Montana,L'ultimo pezzo di terra,NF,Unica
1962,Gene Colonnello & Gloria Christian,Due cipressi,NF,Unica
1962,Tony Renis & Emilio Pericoli,Quando quando quando,F,Unica
1962,Rocco Montana & Rossana,Vestita di rosso,NF,Unica
1962,Gian Costello & Aurelio Fierro,Centomila volte,NF,Unica
1962,Myriam Del Mare & Gene Colonnello,Pesca tu che pesco io,NF,Unica
1962,Fausto Cigliano & Jenny Luna,Cose inutili,NF,Unica
1962,Giacomo Rondinella & Gesy Sebena,Il nostro amore,NF,Unica
1962,Cocky Mazzetti & Pierfilippi,Occhi senza lacrime,NF,Unica
1962,Giorgio Consolini & Narciso Parigi,Vita,NF,Unica
1962,Claudio Villa & Ginny Arnell,Quando il vento d'aprile,NF,Unica
1962,Domenico Modugno & Claudio Villa,Addio... addio,1,Unica
1962,Milva & Sergio Bruni,Tango italiano,2,Unica
1962,Sergio Bruni & Ernesto Bonino,Gondolì gondolà,3,Unica
1962,Tony Renis & Emilio Pericoli,Quando quando quando,4,Unica
1962,Milva & Miriam Del Mare,Stanotte al luna park,5,Unica
1962,Arturo Testa & Jolanda Rossin,I colori della felicità,6,Unica
1962,Joe Sentieri & Aurelio Fierro,Cipria di sole,7,Unica
1962,Nelly Fioramonti & Claudio Villa,Aspettandoti,NF,Unica
1962,Arturo Testa & Flo Sandon's,Passa il tempo,9,Unica
1962,Johnny Dorelli & Betty Curtis,Buongiorno amore,8,Unica
1962,Gino Bramieri & Aurelio Fierro,Lui andava a cavallo,10,Unica
1962,Betty Curtis & Luciano Tajoli,Il cielo cammina,11,Unica
1962,Wilma De Angelis & Lucia Altieri,Lumicini rossi,12,Unica
1962,Sergio Endrigo & Ivana Spagna (Errore: Ivana Borgia),Tango del mare,NF,Unica
1963,Eugenia Foligatti & Gianni Lacommare,Fermate il mondo,NF,Unica
1963,Carmen Villani & Arturo Testa,Io che non piango mai,NF,Unica
1963,Mario Abbate & Quartetto Radar,Vorrei fermare il tempo,NF,Unica
1963,Gian Costello & Ennio Sangiusto,Sull'acqua,NF,Unica
1963,Cocky Mazzetti & Quartetto Radar,La ballata del pedone,NF,Unica
1963,Tonina Torrielli & Elsa Vazzoler,Com'è piccolo il cielo,NF,Unica
1963,Aurelio Fierro & Sergio Bruni,Oggi non ho tempo,NF,Unica
1963,Sergio Bruni & Mario Abbate,Un cappotto rivoltato,NF,Unica
1963,Luciano Tajoli & Ennio Sangiusto,Le voci,NF,Unica
1963,Arturo Testa & Joe Sentieri,Quando ci si vuol bene (come noi),F,Unica
1963,Milva & Carmelina,Non sapevo,NF,Unica
1963,Joe Sentieri & Pino Donaggio,Tu venisti dal mare,9,Unica
1963,Aurelio Fierro & Claudio Villa,Jammo ja,8,Unica
1963,Claudio Villa & Maria Paris,Occhi neri e cielo blu,7,Unica
1963,Tonina Torrielli & Eugenia Foligatti,Perdonarsi in due,6,Unica
1963,Milva & Gianni Lacommare,Ricorda,5,Unica
1963,Wilma De Angelis & Flo Sandon's,Non costa niente,4,Unica
1963,Pino Donaggio & Cocky Mazzetti,Giovane giovane,3,Unica
1963,Claudio Villa & Eugenia Foligatti,Amor mon amour my love,2,Unica
1963,Tony Renis & Emilio Pericoli,Uno per tutte,1,Unica
1963,Johnny Dorelli & Quartetto Radar,Non sapevo,10,Unica
1964,Ben E. King & Tony Dallara,Come potrei dimenticarti,NF,Unica
1964,Paul Anka & Roby Ferrante,Ogni volta,NF,Unica
1964,Cocky Mazzetti & Los Hermanos Rigual,Mezzanotte,NF,Unica
1964,Claudio Villa & Peggy March,Passo su passo,NF,Unica
1964,Robertino & Bobby Rydell,Un bacio piccolissimo,NF,Unica
1964,Emilio Pericoli & Peter Kraus,Piccolo piccolo,NF,Unica
1964,Fabrizio Ferretti & The Fraternity Brothers,La prima che incontro,NF,Unica
1964,Laura Villa & Los Hermanos Rigual,Sole sole,NF,Unica
1964,Piero Focaccia & Bobby Rydell,L'inverno cosa fai?,NF,Unica
1964,Fausto Cigliano & Gene Pitney,E se domani,NF,Unica
1964,Lilly Bonato & Richard Moser jr.,Tu piangi per niente,NF,Unica
1964,Tony Renis & Frankie Avalon,I sorrisi di sera,NF,Unica
1964,Little Tony & Gene Pitney,Quando vedrai la mia ragazza,F,Unica
1964,Giorgio Gaber & Patricia Carli,Così felice,F,Unica
1964,Bruno Filippini & The Fraternity Brothers,Sabato sera,F,Unica
1964,Fabrizio Ferretti & Gil Fields e The Fraternity Brothers,La prima che incontro,F,Unica
1964,Milva & Frida Boccara,L'ultimo tram,F,Unica
1964,Remo Germani & Nino Tempo e April Stevens,Stasera no no no,F,Unica
1964,Pino Donaggio & Frankie Avalon,Motivo d'amore,F,Unica
1964,Gino Paoli & Antonio Prieto,Ieri ho incontrato mia madre,F,Unica
1964,Roby Ferrante & Piero Focaccia,Ogni volta,2,Unica
1964,Claudio Villa & Domenico Modugno,Che me ne importa a me,2,Unica
1964,Gigliola Cinquetti & Patricia Carli,Non ho l'età (Per amarti),1,Unica
1964,Bobby Solo & Frankie Laine,Una lacrima sul viso,F,Unica
1965,Robertino & Billy J. Kramer & The Dakotas,Di fronte all'amore,NF,Unica
1965,Fabrizio Ferretti & Dusty Springfield,Di fronte all'amore,NF,Unica
1965,Gianni Mascolo & Dusty Springfield,Di fronte all'amore,NF,Unica
1965,Bruno Lauzi & Kenny Rankin,Il tuo amore,NF,Unica
1965,Carmen Villani & Bernd Spier,Io ca te voglio bene,NF,Unica
1965,Franco Tozzi & Johnny Tillotson,Non a caso il destino (ci ha fatto incontrare),NF,Unica
1965,Don Miko & Timi Yuro,E poi verrà l'autunno,NF,Unica
1965,Beppe Cardile & Anita Harris,L'amore è partito,NF,Unica
1965,Nicola Di Bari & Gene Pitney,Amici miei,NF,Unica
1965,Hoagy Lands & Giordano Colombo,Io non volevo,NF,Unica
1965,Ricky Gianco & Jody Miller,Devi essere tu,NF,Unica
1965,Iva Zanicchi & Gene Pitney,I tuoi anni più belli,NF,Unica
1965,John Foster & Joe Damiano,Cominciamo ad amarci,NF,Unica
1965,Pino Donaggio & Jody Miller,Io che non vivo (senza te),F,Unica
1965,Milva & Bernd Spier,Vieni con noi,F,Unica
1965,Peppino Gagliardi & Timi Yuro,Ti credo,NF,Unica
1965,Bobby Solo & New Christy Minstrels,Se piangi se ridi,1,Unica
1965,Nicola Di Bari & Gene Pitney,Amici miei,2,Unica
1965,Bruno Filippini & Yukari Ito,L'amore ha i tuoi occhi,F,Unica
1965,Gigliola Cinquetti & Connie Francis,Ho bisogno di vederti,F,Unica
1965,Ornella Vanoni & Udo Jürgens,Abbracciami forte,2,Unica
1965,Fred Bongusto & Kiki Dee,Aspetta domani,F,Unica
1965,Wilma Goich & New Christy Minstrels,Le colline sono in fiore,F,Unica
1965,Vittorio Inzaina & Les Surfs,Si vedrà,F,Unica
1965,Betty Curtis & Petula Clark,Invece no,F,Unica
1965,Remo Germani & Audrey,Prima o poi,F,Unica
1966,Plinio Maggi & Anna Marchetti,Io ti amo,NF,Unica
1966,Luciana Turina & Gino & The Bachelors,Dipendesse da me,NF,Unica
1966,Franco Tozzi & Bobby Vinton,Io non posso crederti,NF,Unica
1966,John Foster & Paola Bertoni,Se questo ballo non finisse mai,NF,Unica
1966,Giuseppe Di Stefano & P.J. Proby,Per questo voglio te,NF,Unica
1966,Nicola Di Bari & Gene Pitney,Lei mi aspetta,NF,Unica
1966,Gino Paoli & Ricardo,La carta vincente,NF,Unica
1966,Bobby Solo & The Yardbirds,Questa volta,NF,Unica
1966,Adriano Celentano & Trio del Clan,Il ragazzo della via Gluck,NF,Unica
1966,Lucio Dalla & The Yardbirds,Pafff... bum!,NF,Unica
1966,Peppino Gagliardi & Pat Boone,Se tu non fossi qui,F,Unica
1966,Equipe 84 & The Renegades,Un giorno tu mi cercherai,NF,Unica
1966,Milva & Richard Anthony,Nessuno di voi,F,Unica
1966,Remo Germani & Les Surfs,Così come viene,F,Unica
1966,Domenico Modugno & Gigliola Cinquetti,Dio come ti amo,1,Unica
1966,Caterina Caselli & Gene Pitney,Nessuno mi può giudicare,2,Unica
1966,Iva Zanicchi & Vic Dana,La notte dell'addio,3,Unica
1966,Orietta Berti & Ornella Vanoni,Io ti darò di più,6,Unica
1966,Wilma Goich & Les Surfs,In un fiore,F,Unica
1966,Sergio Endrigo & Chad & Jeremy,Adesso sì,F,Unica
1966,Edoardo Vianello & Françoise Hardy,Parlami di te,F,Unica
1966,Pino Donaggio & Claudio Villa,Una casa in cima al mondo,F,Unica
1966,Anna Identici & New Christy Minstrels,Una rosa da Vienna,F,Unica
1966,Giorgio Gaber & Pat Boone,Mai mai mai Valentina,F,Unica
1967,Wilma Goich & The Bachelors,Per vedere quant'è grande il mondo,NF,Unica
1967,Betty Curtis & Tony Del Monaco,È più forte di me,NF,Unica
1967,Milva & Los Bravos,Uno come noi,NF,Unica
1967,Nicola Di Bari & Gene Pitney,Guardati alle spalle,NF,Unica
1967,Jimmy Fontana & Adriano Celentano (Assente),L'immensità (Nota: Celentano non la cantò),NF,Unica
1967,Don Backy & Johnny Dorelli,L'immensità,9,Unica
1967,Pino Donaggio & Carmen Villani,Io per amore,F,Unica
1967,Riki Maiocchi & Marianne Faithfull,C'è chi spera,NF,Unica
1967,Domenico Modugno & Gidiuli,Sopra i tetti azzurri del mio pazzo amore,NF,Unica
1967,Claudio Lippi & Carmelo Pagano,Sì sì sì,NF,Unica
1967,Bobby Solo & Connie Francis,Canta ragazzina,NF,Unica
1967,Edoardo Vianello & The Byrds,Nasce una vita,NF,Unica
1967,Fred Bongusto & Anna German,Gi,NF,Unica
1967,Donatella Moretti & Bobby Goldsboro,Una ragazza,NF,Unica
1967,Luigi Tenco & Dalida,Ciao amore ciao,NF,Unica
1967,Mino Reitano & The Hollies,Non prego per me,13,Unica
1967,Peppino Di Capri & Dionne Warwick,Dedicato all'amore,14,Unica
1967,Annarita Spinaci & Les Surfs,Quando dico che ti amo,2,Unica
1967,I Giganti & The Bachelors,Proposta,3,Unica
1967,Ornella Vanoni & Mario Guarnera,La musica è finita,4,Unica
1967,Orietta Berti & Les Compagnons de la Chanson,Io tu e le rose,5,Unica
1967,Lucio Dalla & The Rokes,Bisogna saper perdere,6,Unica
1967,Claudio Villa & Iva Zanicchi,Non pensare a me,1,Unica
1967,Gian Pieretti & Antoine,Pietre,8,Unica
1967,Caterina Caselli & Sonny & Cher,Il cammino di ogni speranza,9,Unica
1967,Little Tony & Mario Zelinotti,Cuore matto,10,Unica
1967,Carmen Villani & Osvaldo Moles,Io per amore,11,Unica
1967,Giorgio Gaber & Remo Germani,...E allora dai!,12,Unica
1967,Sergio Endrigo & Memo Remigi,Dove credi di andare,7,Unica
1968,Louis Armstrong & Lara Saint Paul,Mi va di cantare,NF,Unica
1968,Peppino Gagliardi & Eartha Kitt,Che vale per me,NF,Unica
1968,Tony Del Monaco & Dionne Warwick,La voce del silenzio,14,Unica (Nota: Finalista ma 14°)
1968,Pino Donaggio & Timi Yuro,Le solite cose,NF,Unica
1968,Sergio Leonardi & Barbarella,Il tramonto,NF,Unica
1968,Mario Guarnera & Sacha Distel,No amore,NF,Unica
1968,Orietta Berti & Piergiorgio Farina,Tu che non sorridi mai,NF,Unica
1968,Elio Gandolfi & Shirley Bassey,La vita,NF,Unica
1968,Giusy Romeo (Giuni Russo) & Sacha Distel,No amore,NF,Unica
1968,Domenico Modugno,Meraviglioso,NF,Unica
1968,Nino Ferrer & Pilade,Il re d'Inghilterra,NF,Unica
1968,Dino & Wilma Goich,Gli occhi miei,14,Unica
1968,Don Backy & The Rokes,Le opere di Bartolomeo,11,Unica
1968,Anna Identici & The Sandpipers,Quando la luna,12,Unica
1968,Massimo Ranieri & I Giganti,Da bambino,13,Unica
1968,Ornella Vanoni & Marisa Sannia,Casa bianca,2,Unica
1968,Adriano Celentano & Milva,Canzone,3,Unica
1968,Fausto Leali & Wilson Pickett,Deborah,4,Unica
1968,Antoine & Gianni Pettenati,La tramontana,5,Unica
1968,Sergio Endrigo & Roberto Carlos,Canzone per te,1,Unica
1968,Al Bano & Bob Dodd,La siepe,7,Unica
1968,Johnny Dorelli & Paul Anka,La farfalla impazzita,8,Unica
1968,Little Tony & Mario Zelinotti,Un uomo piange solo per amore,9,Unica
1968,Iva Zanicchi & Udo Jürgens,Per vivere,10,Unica
1968,Gigliola Cinquetti & Giuliana Valci,Quando m'innamoro,6,Unica
1969,Junior Magli & The Casuals,Alla fine della strada,14,Unica
1969,Sonia & Robertino,Non c'è che lei,NF,Unica
1969,Isabella Iannetti & Memo Remigi,Una famiglia,NF,Unica
